#TYPE HelpInfoShort
"Name","Category","Synopsis","Component","Role","Functionality","Length"
"about_Type_Operators","HelpFile","Describes the operators that work with Microsoft .NET Framework types.","","","","5232"
"about_Updatable_Help","HelpFile","Describes the updatable help system in Windows PowerShell.","","","","20121"
"about_Variables","HelpFile","Describes how variables store values that can be used in Windows","","","","13835"
"about_While","HelpFile","Describes a language statement that you can use to run a command block","","","","2432"
"about_Wildcards","HelpFile","Describes how to use wildcard characters in Windows PowerShell.","","","","2746"
"about_Windows_PowerShell_5.0","HelpFile","Describes new features that are included in","","","","17208"
"about_Windows_PowerShell_ISE","HelpFile","Describes the features and system requirements of Windows PowerShell","","","","10081"
"about_Windows_RT","HelpFile","Explains limitations of Windows PowerShell 4.0 on Windows RT 8.1.","","","","3224"
"about_WMI","HelpFile","Windows Management Instrumentation (WMI) uses the","","","","4234"
"about_WMI_Cmdlets","HelpFile","Provides background information about Windows Management Instrumentation","","","","8900"
"about_WorkflowCommonParameters","HelpFile","This topic describes the parameters that are valid on all Windows","","","","16429"
"about_Workflows","HelpFile","Provides a brief introduction to the Windows","","","","12043"
"about_WQL","HelpFile","Describes WMI Query Language (WQL), which can be","","","","25644"
"about_WS-Management_Cmdlets","HelpFile","Provides an overview of Web Services for Management (WS-Management) as","","","","7417"
"about_PSReadLine","HelpFile","","","","","35229"
"about_psframework","HelpFile","Gives an overview over the components that make up the PSFramework","","","","8863"
"about_psf_flowcontrol","HelpFile","Explains the PSFrameworks flow control component","","","","487"
"about_psf_license","HelpFile","Explains the PSFrameworks license component","","","","483"
"about_psf_message","HelpFile","Explains the PSFrameworks message & logging component","","","","18582"
"about_psf_resultcache","HelpFile","Explains the PSFrameworks result cache component","","","","507"
"about_psf_runspace","HelpFile","Explains the PSFrameworks runspace component","","","","514"
"about_psf_tabexpansion","HelpFile","Explains the PSFramework's Tab Expansion component","","","","9202"
"about_psf_taskengine","HelpFile","Explains the PSFramework's Task Engine component","","","","6758"
"about_PSUtility","HelpFile","Explains how to use the PSUtility powershell module","","","","168"
"about_CimSession","HelpFile","Describes a CimSession object and the difference between CIM sessions and","","","","2598"
"about_posh-git","HelpFile","posh-git integrates Git and PowerShell providing tab completion of Git","","","","8155"
"about_AdvancedHistory.help","HelpFile","Adds keyboard navigable and filterable history to PowerShell.","","","","592"
"about_configuration","HelpFile","The Configuration module supports layered configurations with default values, and serializes objects and hashtables to the simple PowerShell metadata format with the ability to extend how your custom types are serialized, so your configuration files are just .psd1 files!","","","","9148"
"about_dbachecks","HelpFile","Explains how to use the dbachecks powershell module","","","","168"
"about_dbatools","HelpFile","Gives on overview over the advanced dbatools topics","","","","1879"
"about_dbatools_importoptions","HelpFile","Explains the various options of how to import dbatools.","","","","5202"
"about_dbatools_support","HelpFile","Describes how to contact support and what information we need","","","","8698"
"about_DellBIOSProvider","HelpFile","The Dell Command PowerShell Provider (DCPP) provides BIOS reporting and","","","","13247"
"about_DellBIOSProvider_DscResources","HelpFile","Overview of DSC resources found in the DellBIOSProvider module","","","","3266"
"about_FormatPowershellCode","HelpFile","A set of functions for standardizing and reformatting PowerShell script code.","","","","694"
"about_FredsIronScripter2018","HelpFile","This module is a collection of solutions to the Iron Scripter Challenge.","","","","942"
"about_InvokeBuild","HelpFile","Build and test automation in PowerShell","","","","1098"
"about_MSI","HelpFile","Windows Installer PowerShell Module","","","","2667"
"about_MSOnlineExt_Telemetry","HelpFile","To disable telemetry, run the command Set-MSOnlineExtTelemetryOption -Participate 'No' and then reload the module.","","","","750"
"about_OutlookConnector","HelpFile","The module Outlook Connector will enable you to connect to MS Outlook session on your computer via few simple to use command line functions. You can pipe array of messages to PowerShell commands and do all the scripting with provided data (grouping, examining, logging, etc.). Or, you can export all or some messages to file system, which is functionality not provided in Outlook itself!","","","","3165"
"about_BeforeEach_AfterEach","HelpFile","Describes the BeforeEach and AfterEach commands, which run a set of commands that you specify","","","","3597"
"about_Mocking","HelpFile","Pester provides a set of Mocking functions making it easy to fake dependencies","","","","7386"
"about_Pester","HelpFile","Pester is a test framework for Windows PowerShell. Use the Pester language","","","","11618"
"about_Should","HelpFile","Provides assertion convenience methods for comparing objects and throwing","","","","8975"
"about_TestDrive","HelpFile","A PSDrive for file activity limited to the scope of a singe Describe or","","","","1250"
"about_Plaster.help","HelpFile","Plaster is a scaffolding engine for PowerShell. It can be used to create a","","","","2000"
"about_Plaster_CreatingAManifest.help","HelpFile","This about topic will explain the schema of a Plaster Manifest.","","","","25899"
"about_PoshRegistry_Module","HelpFile","Describes the RemoteRegistry module.","","","","4341"
"about_PoshRSJob","HelpFile","PoshRSJob is a PowerShell jobs based framework using runspaces and runspacepools","","","","1089"
"about_poshspec","HelpFile","A Infrastructure Testing DSL running in Pester.","","","","856"
"about_Document","HelpFile","PScribo is a documentation domain-specific language for Powershell. The Document keyword is used to instantiate a","","","","4644"
"about_Plugins","HelpFile","---------------------------------------------------------------","","","","1451"
"about_PScribo","HelpFile","PScribo is a documentation framework for PowerShell.","","","","1777"
"about_Styles","HelpFile","PScribo uses styles to apply specific formatting to document objects, e.g. sections, paragraphs and tables.","","","","3787"
"about_Tables","HelpFile","","","","","203"
"about_Pscx","HelpFile","Describes the Windows PowerShell Community Extensions (PSCX) module and","","","","33117"
"about_PSExcel","HelpFile","- What version of Excel do I need to use this module?","","","","2319"
"about_PSGit","HelpFile","## Status","","","","1887"
"about_psmoduledevelopment","HelpFile","Explains how the PSModuleDevelopment module can enhance your module","","","","6513"
"about_PSParallel","HelpFile","","","","","24"
"about_PSSlack","HelpFile","PSSlack allows you to work with the Slack API through PowerShell functions","","","","2332"
"about_PSTypeExtensionTools","HelpFile","This PowerShell module contains commands that make it easier to work with","","","","4641"
"About_ShowUI","HelpFile","","","","","414"
"About_ShowUI_Jobs.walkthru","HelpFile","$jobs = @()","","","","1429"
"about_SlackBot","HelpFile","","","","","0"
"about_UserProfile","HelpFile","Describes module that helps to manage user profiles on local and remote computers.","","","","828"
"about_ActiveDirectory","HelpFile","The Active Directory module is a command line interface for managing","","","","3420"
"about_ActiveDirectory_Filter","HelpFile","Describes the syntax and behavior of the search filter supported by the","","","","14476"
"about_ActiveDirectory_Identity","HelpFile","The Active Directory module for Windows PowerShell objects have a range","","","","6079"
"about_ActiveDirectory_ObjectModel","HelpFile","Describes the object model of the Active Directory module for Windows","","","","34561"
"about_BITS_Cmdlets","HelpFile","Provides background information about the Background Intelligent Transfer","","","","7563"
"about_Scheduled_Jobs","HelpFile","Describes scheduled jobs and explains how to use and manage","","","","11766"
"about_Scheduled_Jobs_Advanced","HelpFile","Explains advanced scheduled job topics, including the file structure","","","","10101"
"about_Scheduled_Jobs_Basics","HelpFile","Explains how to create and manage scheduled jobs.","","","","11371"
"about_Scheduled_Jobs_Troubleshooting","HelpFile","Explains how to resolve problems with scheduled jobs","","","","21051"
"about_ActivityCommonParameters","HelpFile","Describes the parameters that Windows PowerShell","","","","29392"
"about_Checkpoint-Workflow","HelpFile","Describes the Checkpoint-Workflow activity, which","","","","3218"
"about_Foreach-Parallel","HelpFile","Describes the ForEach -Parallel language construct in","","","","3196"
"about_InlineScript","HelpFile","Describes the InlineScript activity, which runs Windows","","","","4652"
"about_Parallel","HelpFile","Describes the Parallel keyword, which runs the","","","","1703"
"about_Sequence","HelpFile","Describes the Sequence keyword, which runs selected","","","","3312"
"about_Suspend-Workflow","HelpFile","Describes the Suspend-Workflow activity, which suspends","","","","4461"
"about_WorkflowCommonParameters","HelpFile","This topic describes the parameters that are valid on all Windows","","","","16429"
"about_Workflows","HelpFile","Provides a brief introduction to the Windows","","","","12043"
